# LLM Dependency Analysis for script_44.py
# Generated by Advanced Multi-Agent LLM Analyzer
# Analysis time: 0.0261s
# Total dependencies: 13

numpy  # confidence: 0.860, agents: 2
cProfile  # confidence: 0.720, agents: 1
line_profiler  # confidence: 0.720, agents: 1
memory_profiler  # confidence: 0.720, agents: 1
objgraph  # confidence: 0.720, agents: 1
psutil  # confidence: 0.720, agents: 1
pstats  # confidence: 0.720, agents: 1
pympler  # confidence: 0.720, agents: 1
gc  # confidence: 0.720, agents: 1
tracemalloc  # confidence: 0.720, agents: 1
weakref  # confidence: 0.720, agents: 1
multiprocessing  # confidence: 0.680, agents: 1
redis  # confidence: 0.560, agents: 1
